id;cd
002f62ef0f9311f0a3e90a580a831036;16218000
0079ebd4402211ee9da30a580a811419;12100000
012183f9d1c911efb5fb0a580a820fb8;FB-SX-06
0130386b995511ec9eb30a580a800b80;FB-MR-05
017d9a6b465011edad300a580a800632;MA-SPA
019c0754eacd11ebb6d10a580a830a4c;OBR-110-ART-PROGRAM
024195cbbcd211ed863a0a580a820a0d;11155103
02ea41f05ecc11ee9a260a580a83120e;20150913
0327897ce88d11efb9c10a580a821599;FB-OR-04
054fb97c4f5411eb8c310a580a8103e2;VI-SHP-LUX
05be1f54f94811ecbb910a580a830630;24158100
05c528c7a39e11ec8e440a580a830a81;MR-ANC-OTH
060273cebea111eea14f0a580a830e8f;25100000
060d626b336411edad300a580a800632;EU-LAU
0657e6bdbea111eebf460a580a810ef1;25101000
068919c30f9411f0a3e90a580a831036;15218000
06a0fdc1bea111eea14f0a580a830e8f;25102000
06c6d530bea111eebf460a580a810ef1;25103000
06eb7433bea111eebf460a580a810ef1;25103100
06ff677ce20111eea14f0a580a830e8f;22150902
07182986bea111eebf460a580a810ef1;25103200
0737b2cccdb511efb5fb0a580a820fb8;FB-LX
073af3c9bea111eebf460a580a810ef1;25103300
0750efbc149611f099a60a580a821017;12150917
075ad7dcbea111eebf460a580a810ef1;25103400
077fc504bea111eea14f0a580a830e8f;25103500
07a3c7bfbea111eebf460a580a810ef1;25103700
07c69202bea111eebf460a580a810ef1;25103800
07d8bfd23ab911ee8ad90a580a830e17;11216000
07e90e25bea111eebf460a580a810ef1;25104000
08094058bea111eebf460a580a810ef1;25105000
082293034f5511ebb3830a580a830195;VI-LAU
082e7b97bea111eea14f0a580a830e8f;25106100
0837caba5ecb11ee9a260a580a83120e;20150908
0851dceab13c11ed9c8c0a580a800617;SV-HUB-INT
08538fcbbea111eebf460a580a810ef1;25106200
08798e5abea111eea14f0a580a830e8f;25106300
0896dbf1e7a111efb9c10a580a821599;25251000
089d911dbea111eea14f0a580a830e8f;25120000
08c627bebea111eebf460a580a810ef1;25131000
08ea0371bea111eebf460a580a810ef1;25132000
090b2000bea111eea14f0a580a830e8f;25133100
09300d23bea111eea14f0a580a830e8f;25133200
09436bc6605311ef82bd0a580a831186;FB-OX-06
09519ee4bea111eebf460a580a810ef1;25134100
09726d56bea111eea14f0a580a830e8f;25140000
098a04cfa6cd11ed863a0a580a820a0d;FB-SV
0991e7159eec11ec8e440a580a830a81;FB-PO-01
0996be37bea111eebf460a580a810ef1;25150101
09b6a249bea111eea14f0a580a830e8f;25150102
09d197c1a70111edaf540a580a800617;FB-DI-07
09dc79cabea111eebf460a580a810ef1;25150104
09fa13edbea111eebf460a580a810ef1;25150117
0a1c900cbea111eea14f0a580a830e8f;25150127
0a3e48e0bea111eebf460a580a810ef1;25150132
0a609df3bea111eebf460a580a810ef1;25150183
0a7f979fbea111eea14f0a580a830e8f;25150184
0a8d9731465111edad300a580a800632;SC-SPA
0aa3c172bea111eea14f0a580a830e8f;25150258
0acb1f96bea111eebf460a580a810ef1;25150264
0ae5d0fba6dd11edaf540a580a800617;FB-BE
0af515c5bea111eea14f0a580a830e8f;25150277
0b12d442cdb611efb9c10a580a821599;FB-LX-01
0b1bfeb8bea111eea14f0a580a830e8f;25150278
0b632d814f5711eb8c310a580a8103e2;OBR-109-HOSPITAL
0bb9761d964b11ec9eb30a580a800b80;19104000
